Reserva;Hospede;Email;Contagem de Reserva;DataCheckin
400305;Gustavo Araujo;garaujo@outlook.com;1.0;5/13/26
400414;Thiago Carvalho;thiago814@uol.com.br;1.0;5/13/26
400108;Fábio Nascimento;fábio.nascimento@gmail.com;1.0;5/13/26
400349;Felipe Ramos;felipe438@yahoo.com.br;1.0;5/13/26
400184;Luciana Melo;luciana.melo@gmail.com;1.0;5/13/26
400142;Isabela Cardoso;isabela9@outlook.com;1.0;5/13/26
400048;Patrícia Moreira;pmoreira@uol.com.br;1.0;5/13/26
400307;Bruno Santos;bsantos@hotmail.com;1.0;5/13/26
400267;Vinícius Pinto;vinícius305@uol.com.br;1.0;5/13/26
400301;Fernanda Lima;fernanda129@outlook.com;1.0;5/13/26
400117;Cristina Batista;cristina826@yahoo.com.br;1.0;5/13/26
400100;Felipe Ramos;felipe.ramos@outlook.com;1.0;5/13/26
400483;Vinícius Pinto;vinícius608@hotmail.com;1.0;5/13/26
400034;Luciana Melo;lmelo@yahoo.com.br;1.0;5/13/26
400468;Vinícius Pinto;vpinto@yahoo.com.br;1.0;5/13/26
400322;Renata Freitas;rfreitas@outlook.com;1.0;5/13/26
400301;Diego Martins;diego.martins@uol.com.br;1.0;5/13/26
400482;Juliana Pereira;juliana.pereira@hotmail.com;1.0;5/13/26
400313;Rafael Alves;rafael.alves@gmail.com;1.0;5/13/26
400323;Vanessa Mendes;vanessa25@outlook.com;1.0;5/13/26
400146;Vinícius Pinto;vinícius.pinto@yahoo.com.br;1.0;5/13/26
400239;Henrique Dias;henrique830@yahoo.com.br;1.0;5/13/26
400411;Vinícius Pinto;vpinto@hotmail.com;1.0;5/13/26
400188;Leonardo Ribeiro;lribeiro@outlook.com;1.0;5/13/26
400326;Larissa Ferreira;larissa.ferreira@gmail.com;1.0;5/13/26
400192;Patrícia Moreira;patrícia62@uol.com.br;1.0;5/13/26
400187;Bruno Santos;bsantos@hotmail.com;1.0;5/13/26
400113;Thiago Carvalho;thiago.carvalho@yahoo.com.br;1.0;5/12/26
400147;Renata Freitas;renata32@outlook.com;1.0;5/12/26
400221;Simone Azevedo;sazevedo@hotmail.com;1.0;5/12/26
400245;Patrícia Moreira;patrícia976@hotmail.com;1.0;5/12/26
400119;Vinícius Pinto;vinícius685@gmail.com;1.0;5/12/26
400240;Vanessa Mendes;vmendes@outlook.com;1.0;5/12/26
400397;Natália Campos;natália207@gmail.com;1.0;5/12/26
400166;Patrícia Moreira;pmoreira@outlook.com;1.0;5/12/26
400520;Marcelo Barbosa;marcelo.barbosa@hotmail.com;1.0;5/12/26
400138;Patrícia Moreira;patrícia.moreira@yahoo.com.br;1.0;5/12/26
400266;Felipe Ramos;felipe.ramos@hotmail.com;1.0;5/12/26
400478;Fernanda Lima;flima@uol.com.br;1.0;5/12/26
400397;Renata Freitas;renata253@uol.com.br;1.0;5/12/26
400271;Henrique Dias;hdias@uol.com.br;1.0;5/12/26
400474;Diego Martins;diego971@yahoo.com.br;1.0;5/12/26
400477;Eduardo Cunha;eduardo.cunha@outlook.com;1.0;5/12/26
400080;Gustavo Araujo;garaujo@uol.com.br;1.0;5/12/26
400206;Eduardo Cunha;eduardo160@hotmail.com;1.0;5/12/26
400532;Tatiane Monteiro;tatiane93@outlook.com;1.0;5/12/26
400542;Luciana Melo;lmelo@yahoo.com.br;1.0;5/12/26
400280;Larissa Ferreira;lferreira@outlook.com;1.0;5/12/26
400403;Tatiane Monteiro;tmonteiro@yahoo.com.br;1.0;5/12/26
400435;Carlos Souza;carlos949@yahoo.com.br;1.0;5/12/26
400324;Leandro Vieira;lvieira@yahoo.com.br;1.0;5/12/26
400352;Vanessa Mendes;vmendes@uol.com.br;1.0;5/12/26
400343;Roberto Macedo;roberto863@outlook.com;1.0;5/12/26
400171;Leonardo Ribeiro;lribeiro@uol.com.br;1.0;5/12/26
400308;Priscila Gomes;priscila.gomes@hotmail.com;1.0;5/12/26
400411;Rodrigo Teixeira;rodrigo743@hotmail.com;1.0;5/12/26
400079;Amanda Nunes;anunes@gmail.com;1.0;5/12/26
400156;Paulo Figueiredo;paulo727@yahoo.com.br;1.0;5/12/26
400491;Luciana Melo;lmelo@hotmail.com;1.0;5/12/26
400329;Aline Castro;aline747@gmail.com;1.0;5/12/26
400304;Simone Azevedo;sazevedo@hotmail.com;1.0;5/12/26
400132;Thiago Carvalho;thiago.carvalho@hotmail.com;1.0;5/12/26
400507;Bruno Santos;bsantos@yahoo.com.br;1.0;5/12/26
